Version:,0.0.1.1
Note:,Max_val is excluded --> min=0 max=5 = 0-1-2-3-4.
Number,Section,Policy_name,User_key,Type,Min_val,Max_val,Exact_val
2.2.5,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeInteractiveLogonRight,,list,,,"Administrators, Users"
2.2.6,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeRemoteInteractiveLogonRight,,list,,,"Administrators, Remote Desktop Users"
2.2.7,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeBackupPrivilege,,str,,,Administrators
2.2.8,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeSystemtimePrivilege,,list,,,"Administrators, LOCAL SERVICE"
2.2.9,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeTimeZonePrivilege,,list,,,"Administrators, LOCAL SERVICE, Users"
2.2.10,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeCreatePagefilePrivilege,,str,,,Administrators
2.2.11,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeCreateTokenPrivilege,,None,,,None
2.2.12,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeCreateGlobalPrivilege,,list,,,"Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE"
2.2.13,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeCreatePermanentPrivilege,,None,,,None
2.2.14,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeCreateSymbolicLinkPrivilege,,str,,,Administrators
2.2.15,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeDebugPrivilege,,str,,,Administrators
2.2.16,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeDenyNetworkLogonRight,,list,"Guests, Local account",,
2.2.17,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeDenyBatchLogonRight,,list,Guests,,
2.2.18,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeDenyServiceLogonRight,,list,Guests,,
2.2.19,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeDenyInteractiveLogonRight,,list,Guests,,
2.2.20,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeDenyRemoteInteractiveLogonRight,,list,"Guests, Local account",,
2.2.21,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeEnableDelegationPrivilege,,None,,,None
2.2.22,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeRemoteShutdownPrivilege,,str,,,Administrators
2.2.23,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeAuditPrivilege,,list,,,"LOCAL SERVICE, NETWORK SERVICE"
2.2.24,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeImpersonatePrivilege,,list,,,"Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE"
2.2.25,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeIncreaseBasePriorityPrivilege,,list,,,"Administrators, Window Manager\Window Manager Group"
2.2.26,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeLoadDriverPrivilege,,str,,,Administrators
2.2.27,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeLockMemoryPrivilege,,None,,,None
2.2.28,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeBatchLogonRight,,str,,,Administrators
2.2.29,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeServiceLogonRight,,None,,,None
2.2.30,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeSecurityPrivilege,,str,,,Administrators
2.2.31,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeRelabelPrivilege,,str,,,Administrators
2.2.32,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeSystemEnvironmentPrivilege,,str,,,Administrators
2.2.33,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeManageVolumePrivilege,,str,,,Administrators
2.2.34,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeProfileSingleProcessPrivilege,,str,,,Administrators
2.2.35,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeSystemProfilePrivilege,,list,,,"Administrators, NT SERVICE\WdiServiceHost"
2.2.36,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeAssignPrimaryTokenPrivilege,,list,,,"LOCAL SERVICE, NETWORK SERVICE"
2.2.37,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeRestorePrivilege,,str,,,Administrators
2.2.38,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeShutdownPrivilege,,list,,,"Administrators, Users"
2.2.39,rsop:ComputerResults/rsop:ExtensionData/settings:Extension/security:UserRightsAssignment,SeTakeOwnershipPrivilege,,str,,,Administrators
